x	y	z	rrmse
-21.2088	15.4222	-11.2369	0.15086169774569158
-15.6489	15.376	-15.3509	0.17959607458819582
-7.6988	-14.6185	14.1142	0.20350336283873233
-22.2119	15.3473	-4.86946	0.1857016804608961
11.6982	21.2507	-2.96339	0.18926909454972835
30.6303	5.15305	-10.2891	0.20201046295220737
26.2993	-11.4058	15.5819	0.21019242824744114
4.92579	-6.4362	-32.4579	0.2744599070819028
-4.9729	20.3881	10.5793	0.17944424955741103
17.1301	20.876	9.83353	0.17603606625926066
0.556175	-13.763	-1.50716	0.17135219041295047
-13.5154	14.2012	19.6912	0.1679688489893571
11.6566	-11.3283	29.229	0.19791670629679148
12.5323	12.7012	-19.8706	0.2514897026258698
-1.76962	-15.6465	14.829	0.16593447910766948
-9.38915	-11.9493	-10.7442	0.1368098052367206
25.051	6.25734	-17.5478	0.1240566225877382
-22.6281	11.9387	-19.2486	0.15473847624663828
-26.2255	-11.0837	14.1333	0.154417043483003
-32.824	-7.17573	-9.51117	0.24087845894771437
16.8873	15.0073	13.3182	0.276938464843415
29.4696	10.1041	-4.16265	0.15966169214338788
26.5874	-15.539	24.9648	0.17808750019429379
-19.3458	-14.3066	-3.46381	0.2623692714038969
-9.45934	18.3176	-7.75423	0.10520120341863488
-3.79249	20.0312	-6.83518	0.19081201450437463
4.23025	-11.4307	-6.14329	0.14903695142718545
-28.5279	6.91162	11.6146	0.17470888981078106
-3.34102	-5.46074	22.9172	0.22434410108314645
17.39	15.2169	-7.2876	0.21589659750934131
-9.03953	-1.04925	24.2472	0.194215458850219
17.9485	-13.0898	-19.2974	0.23466054052965407
-13.4777	17.2475	13.3688	0.1024713014588986
-11.5669	-0.178857	-27.8769	0.1314149990894447
-25.1923	-12.0342	-2.93422	0.14416496227129794
-27.1082	13.0761	-10.4296	0.17717710893898886
17.7558	9.58903	8.07243	0.19957702658056065
17.6079	-5.18373	-32.0104	0.15579729062032022
23.2275	-7.76136	28.4422	0.18070204968641845
-11.2042	-12.5831	-24.2178	0.3059450607107066
11.0136	4.90503	-27.1204	0.1783777462173135
7.57153	16.6791	22.7366	0.15874378519315496
11.5936	-11.8767	-8.82734	0.1335643597205955
-26.4218	3.05745	19.9753	0.1774015359917466
19.6183	-19.3036	23.4452	0.22976693252497618
11.8634	15.9849	-14.2643	0.20846917086321415
10.9221	-15.2364	16.1121	0.16744431574765653
5.2188	-9.21771	-12.2665	0.20414937583624707
7.95755	0.574613	-30.1688	0.18102267824144147
-31.7388	-7.0376	-14.7231	0.1707247136089526
-29.2984	-11.2311	5.08883	0.07482133053785049
-33.5038	0.0386028	-15.145	0.17963866757326646
8.17991	5.54661	17.9453	0.2143139566239422
28.1074	-6.63708	-4.95631	0.17785047366643436
34.7895	-19.4461	19.6488	0.17852192972467923
-15.1425	-13.4784	-12.7027	0.22991475383425475
6.51638	14.1908	-20.1066	0.12206363960781182
9.92518	21.3035	13.4547	0.19630310445204247
21.6369	-6.27177	10.3754	0.09770482711414315
-33.313	3.06411	12.4653	0.17717847585730254
1.25933	-4.62082	23.2902	0.2090333952261761
17.3294	-1.90572	25.7845	0.1564244328044604
-16.5765	3.57613	24.6569	0.17424399915615213
13.1489	-14.1754	-22.5129	0.22897634865967112
-16.4233	18.2501	3.43548	0.2394295985980838
-19.3102	5.5569	-25.1757	0.12252047236506586
-11.6734	-17.1012	0.677014	0.18427862430387865
-23.3631	14.1998	3.34382	0.22187389071258434
15.6753	20.8567	-0.0566874	0.15193270584974722
25.5735	-3.49693	-21.2405	0.16980699060998716
28.5108	-24.7869	16.3843	0.19217542145166383
6.22111	-12.8861	-31.037	0.2592643546986461
-5.78006	20.6101	-0.172631	0.1674620713534614
14.2408	19.4774	19.0048	0.16119386795023125
-4.96225	-14.8699	-0.666171	0.1607005700366207
-20.2769	10.3385	15.6882	0.1623170887457548
15.3561	-8.06527	33.4176	0.2136268171906434
25.4683	9.48752	-12.0755	0.22230116944479383
-13.4288	-8.04267	21.8967	0.1840010586983179
-7.2397	-11.0472	-18.5323	0.12791784594891464
21.2642	4.85605	-23.7142	0.1641292365427679
-31.0709	3.65677	-19.3052	0.1766403273852727
-32.7976	-7.81272	16.6095	0.1673213719215141
-30.7137	-9.7559	-0.679401	0.16907167180724736
4.86748	2.26963	19.1072	0.22756249700756062
30.2553	-2.53358	1.05411	0.20261828996506454
30.352	-6.91728	17.146	0.13007293382253163
-24.9898	-13.0628	-13.7181	0.17506468909946832
-10.9778	13.3742	-20.4356	0.1380025123845059
9.10081	25.5636	3.7214	0.20120627889793102
16.7674	-13.2304	-12.4568	0.1406698191294863
-31.1235	10.4902	1.75302	0.20035835329476637
5.07934	-15.2587	9.10044	0.190911267697913
20.3812	3.69001	9.41949	0.28695139929999175
0.655864	13.4205	23.7158	0.20825432671030053
28.8056	-4.52995	-13.7978	0.2390316560360976
-18.4725	15.3241	10.3393	0.14593912751736143
-16.5291	-1.50736	-29.2847	0.13562637670288494
-19.5917	-13.8046	11.3451	0.2016736537162355
-32.1649	8.81039	-9.24431	0.1894725486601287
16.5407	11.6036	21.3746	0.22259202860547816
23.2369	-3.53351	-26.6747	0.20532390771249542
27.608	-20.5907	24.6693	0.16110516028228386
-3.48502	-8.7444	-31.2104	0.29075165995565416
-7.52222	6.3284	-25.8654	0.15992886173432896
2.00352	20.3314	15.8214	0.16028551608810432
14.6412	-12.8916	7.84839	0.17932134392810617
-22.6494	-3.51093	21.3704	0.14612099617314647
16.4885	-18.134	19.0543	0.23057500063944697
20.0486	14.0748	-2.0083	0.22492482880280754
-14.202	-14.1909	14.9383	0.16075849133647327
6.61248	-13.8574	-23.4047	0.17770068356683802
-1.24208	1.17363	-28.8149	0.20778254529416335
-23.8659	-0.137167	-26.8449	0.13746220536382325
-37.4309	-6.72623	5.68725	0.185094341462586
-35.8764	-4.17355	-6.3882	0.1444095497043595
13.3949	14.7782	26.8586	0.23182299592815991
26.7285	-8.18289	-9.60359	0.18921794543645853
34.7066	-27.8311	14.9922	0.1059407333883344
-23.9473	-8.07897	-23.7557	0.2085911857141513
0.394809	14.8324	-19.1005	0.1286565872977284
2.9435	23.0474	-3.09799	0.15572977308815167
16.7916	-13.2533	2.32137	0.09959631988742401
-36.1986	0.926571	8.4985	0.20771749371920417
0.172641	2.87466	24.5995	0.1661895051039072
19.4032	0.474941	14.0366	0.2721550527779506
-4.10717	15.5585	20.8756	0.19810150074008964
17.4258	-11.1722	-28.2914	0.24184131403915332
-16.7744	16.6875	-8.63569	0.09964160202160206
-17.4231	11.5337	-21.9194	0.17763719162704386
-9.78471	-16.6447	9.60044	0.20446909741325547
-27.7502	13.6617	-2.65925	0.14852955002854837
11.4644	17.5776	-8.08242	0.20489291288677441
29.8645	2.23019	-14.7109	0.18073688812689387
29.9832	-16.8312	15.2764	0.18323482874753477
1.67282	-3.29394	-32.1499	0.2944604111202282
-5.18183	21.0783	4.11497	0.19080097894457562
14.3389	24.1308	9.81427	0.16181512424875333
5.79159	-13.9773	1.40782	0.18265162032673077
-7.92082	17.3255	16.6242	0.21445834113795237
6.92246	-12.0922	25.0034	0.19350501874605208
15.6261	9.80296	-20.9436	0.21076609860884205
-0.351182	-13.9544	19.8933	0.16210817116500537
-6.07146	-12.4308	-7.38435	0.14445879800535946
20.6178	10.1767	-16.3088	0.10056855868799755
-25.1876	6.74398	-21.8013	0.21869722391486313
-23.8874	-6.91352	19.0359	0.1669731814634554
-27.9261	-10.7547	-8.60914	0.17425755713994073
14.6779	9.10052	12.8756	0.19386976503150544
32.3126	2.93021	0.335191	0.18425246489949682
30.9986	-12.5664	20.5806	0.12998843159585835
-12.9181	-15.2144	-4.44852	0.3133358516892799
-8.75701	17.0354	-11.9194	0.10989964936232689
2.84215	21.2472	-7.16668	0.19096711975483882
-1.19927	-9.95132	-8.80671	0.13142143349950486
-25.7835	5.58089	15.0944	0.22187347717210493
-6.41261	-10.2357	21.901	0.19135409237659662
18.2463	13.6709	-13.613	0.22326883010018483
-6.68133	5.59814	24.9218	0.20434418990052788
22.0955	-12.5121	-13.1424	0.2013688760557697
-11.187	19.9101	7.61937	0.11186144939265544
-4.54012	-2.42066	-29.5374	0.16271250865436132
-21.2729	-13.489	2.17544	0.17740271672362734
-26.2135	12.3738	-16.6801	0.16479632543941025
17.4709	12.5754	2.85483	0.21432570443410703
11.4864	-7.79044	-32.4812	0.22133855181088946
22.7366	-13.0605	28.9792	0.20125013064942865
-9.01405	-7.28992	-29.0	0.2698748094828315
8.22217	8.30391	-25.2212	0.14575996606911826
5.52005	18.5875	19.2056	0.1725496107037833
12.142	-13.6842	-3.25922	0.16410939365717786
-31.4392	-3.66809	20.0646	0.1265639510611343
15.4791	-15.8631	25.9339	0.23011348803021117
5.80071	18.1104	-12.7828	0.15122866241335092
6.30429	-15.442	19.0598	0.17004347805918402
4.81759	-11.5047	-18.6805	0.1910787016835737
11.8305	-0.188558	-31.1812	0.13954945576248232
-27.6338	-9.20201	-19.52	0.11251601511241582
-32.1369	-12.4417	12.1323	0.2114922313583854
-34.5079	1.45126	-9.52893	0.1456643871201692
13.9753	8.44828	23.3063	0.2159303575727587
24.748	-10.1137	-2.9405	0.2185260448132565
39.1181	-22.5525	15.637	0.1356868025149314
-14.3365	-13.0016	-18.4287	0.2569048558969885
0.784047	10.4441	-24.9442	0.18617265002873956
6.35297	23.6614	8.31588	0.2138018943053155
23.1046	-8.48377	4.32155	0.09982195447035266
-33.9112	0.0554244	17.7319	0.21191200833215953
4.08489	-3.11392	27.2949	0.2228196753411515
22.5707	-6.09767	24.1745	0.1808538109488406
-12.5593	8.80696	23.7016	0.1503475764871562
11.819	-12.2287	-15.7681	0.261667882020648
-18.5295	16.2934	-0.0422638	0.16652146726369516
-13.1012	7.92035	-25.5641	0.16210822012664294
-16.9313	-16.4906	5.6418	0.16668108391561332
-27.2004	11.6912	5.41099	0.1715093762901555
17.4348	19.9601	5.13127	0.13923407821717743
26.1665	1.36994	-22.1567	0.18901879256081078
24.887	-23.5936	20.4751	0.2181647844301981
12.7563	-15.0195	-29.033	0.28884457923178997
-10.7037	18.6856	-2.84418	0.19432504531824019
16.9357	18.4864	21.3476	0.1902420068770399
-5.79673	-16.6966	4.62716	0.13408959773434181
-18.9865	9.78733	20.4026	0.16370244294763747
12.846	-1.87145	32.3221	0.18167583334535703
